assists,bonus,bps,clean_sheets,creativity,dreamteam_count,goals_scored,ict_index,id,influence,minutes,points_per_game,red_cards,selected_by_percent,team,threat,total_points,transfers_in,transfers_out,yellow_cards,prices
0,2,454,6,17.7,0,1,89.8,195,620.4,2186,2.4,1,0.3,10,259,59,71723,106684,4,4.5
9,18,590,9,704.2,2,0,143.5,155,592.6,2681,4,1,11.4,7,136,120,2355416,2221875,2,5.5
0,2,665,12,421.4,0,0,161.6,197,843.2,3399,2.6,0,2.7,10,350,100,452954,531709,7,4.5
0,0,0,0,0,0,0,0,622,0,0,0,0,0,12,0,0,1982,1698,0,4
5,22,640,10,1085.9,3,1,192.8,300,596,2653,3.9,0,17.3,13,243,124,2095769,846587,8,5.5
0,0,132,1,111.7,0,1,38.1,240,169,968,1.9,0,0.4,9,101,26,50237,50534,2,4.5
0,0,33,0,1.6,0,0,4.5,127,36.6,275,1,0,0.1,6,6,4,26863,30713,0,4
1,5,225,5,204.1,1,2,75.6,104,224.2,958,4.4,0,2.2,5,328,57,387913,481565,2,5.5
0,0,0,0,0,0,0,0,294,0,0,0,0,0,13,0,0,1048,4671,0,4
0,0,3,0,0,0,0,0.2,135,2.2,1,1,0,0.2,6,0,1,13494,82231,0,4
0,0,0,0,0,0,0,0,63,0,0,0,0,0,3,0,0,210,1059,0,4
0,4,426,9,126,1,1,64.1,165,432.2,2286,2.9,0,1,7,80,80,241570,184603,9,4.5
2,4,222,4,182.4,1,0,52,457,257.2,1238,2.8,1,3.8,17,79,47,233771,1540220,2,5
4,9,710,16,607,2,0,142.2,42,690.4,3404,3.6,0,12,2,122,138,1849292,997089,7,5
2,8,468,11,352.9,1,0,98.7,496,520.8,2373,3.2,1,0.7,2,110,89,220871,211501,6,5
0,0,0,0,0,0,0,0,73,0,0,0,0,0,3,0,0,339,717,0,4
1,6,545,10,380.8,1,1,105.8,92,551.2,3060,3,0,2.5,4,125,103,547303,364517,5,4.5
1,8,258,5,67.4,1,0,39.4,470,249.6,1307,3.2,0,5.9,20,78,58,1715264,1464150,4,4.5
1,13,649,11,87.8,3,3,114.5,156,814,2989,3.6,0,6.3,7,243,127,1208273,924625,4,5
0,0,0,0,0,0,0,0,663,0,0,0,0,0,3,0,0,1343,1077,0,4
0,0,119,0,29.9,0,0,25.4,479,188.2,841,1.2,0,0.1,16,34,14,6119,23802,1,4
0,1,150,3,46.9,0,1,24.7,279,156,797,2.9,0,2.4,12,44,29,271383,631492,4,5
0,0,0,0,0,0,0,0,145,0,0,0,0,0.6,6,0,0,76549,147031,0,4
1,0,172,2,84.3,0,0,27.2,577,150.8,1145,2.2,0,0.1,6,34,28,60400,57999,2,4
1,1,325,7,90.6,1,1,60.1,589,376.4,1455,4,0,4.7,11,132,68,660325,289181,2,4.5
0,0,51,1,47.8,0,0,12.2,264,42,247,1.8,0,4.1,11,34,11,618136,627244,1,4
0,0,1,0,0.7,0,0,0.2,31,0.8,15,-1,0,0.2,2,0,-1,19210,34156,1,4
3,11,548,9,412.9,0,1,130.7,546,595.2,2983,3.2,0,2.9,20,297,109,646076,491045,5,5
0,0,0,0,0,0,0,0,269,0,0,0,0,0.2,12,0,0,5379,44609,0,4
0,0,9,0,5.7,0,0,2.2,559,15,80,1,0,0.2,7,1,2,36185,33032,1,4
0,0,0,0,0,0,0,0,629,0,0,0,0,0,20,0,0,3898,1895,0,4
0,5,353,8,295.7,1,0,70.3,283,272,1473,3.5,0,0.6,12,134,69,93522,86808,0,5.5
0,0,0,0,0,0,0,0,215,0,0,0,0,1,10,0,0,135513,132245,0,4
0,0,2,0,0.5,0,0,0.1,467,0.6,22,1,0,1.4,20,0,1,256762,316207,0,4
