name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Oliver Skipp,MID,Spurs,0.5,0,0,11,1,0.8,373,10,0,0,1.7,16.2,2021-08-15T15:30:00Z,90,12,0,0,0,0,1,0,17425,0,1,0,3,0,0,0,45,TRUE,0,1
Vitaly Janelt,MID,Brentford,0.4,0,0,6,1,1.4,84,1,0,0,1,6.2,2021-08-13T19:00:00Z,90,1,0,0,0,0,1,0,3003,0,2,2,3,0,0,0,50,TRUE,0,1
Bryan Mbeumo,MID,Brentford,0.9,0,0,4,1,13.3,96,1,0,0,3.8,2.4,2021-08-13T19:00:00Z,85,1,0,0,0,0,1,0,73833,0,2,22,3,0,0,0,55,TRUE,0,1
Abdoulaye Doucouré,MID,Everton,1.9,0,2,31,0,4.6,173,4,1,1,8.3,41.8,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,19357,1,3,37,8,0,0,0,55,TRUE,1,1
Rodrigo Hernandez,MID,Man City,2.4,0,0,0,0,0,266,10,0,0,0,0,2021-08-15T15:30:00Z,0,17,0,0,0,0,1,0,28016,0,1,0,0,0,0,0,55,FALSE,0,1
Hakim Ziyech,MID,Chelsea,0,0,0,0,0,0,131,3,0,0,0,0,2021-08-14T14:00:00Z,0,7,0,0,0,0,1,0,37887,0,3,0,0,0,0,0,75,TRUE,0,1
Marc Albrighton,MID,Leicester,2.4,0,0,0,0,0,202,5,0,0,0,0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,14368,0,1,0,0,0,0,0,55,TRUE,0,1
Emiliano Buendía Stati,MID,Aston Villa,2.8,0,0,6,0,5.3,43,8,3,0,2,4.2,2021-08-14T14:00:00Z,71,18,0,0,0,0,1,0,386824,2,3,10,2,0,0,0,65,FALSE,0,1
Miguel Almirón,MID,Newcastle,0.9,0,0,12,0,13.8,308,9,4,0,4.2,10,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,34866,4,2,18,2,0,0,0,55,TRUE,0,1
Pablo Fornals,MID,West Ham,3.1,1,0,24,0,48.9,423,9,2,0,11.1,37.6,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,27855,4,2,24,5,0,0,0,60,FALSE,0,1
Moisés Caicedo,MID,Brighton,1.5,0,0,0,0,0,538,2,0,0,0,0,2021-08-14T14:00:00Z,0,5,0,0,0,0,1,0,0,2,1,0,0,0,0,0,45,FALSE,0,1
Andros Townsend,MID,Everton,1.9,1,0,21,0,40.5,482,4,1,0,7.1,30.8,2021-08-14T14:00:00Z,69,16,0,0,0,0,1,0,47331,1,3,0,5,0,0,0,55,TRUE,0,1
Jonjo Shelvey,MID,Newcastle,0.9,0,0,7,0,14.4,291,9,4,0,1.8,3.6,2021-08-15T13:00:00Z,69,19,0,0,0,0,1,0,9252,4,2,0,1,0,0,0,55,TRUE,1,1
Jean-Philippe Gbamin,MID,Everton,1,0,0,0,0,0,504,4,0,0,0,0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,2036,1,3,0,0,0,0,0,45,TRUE,0,1
Pelenda Joshua Dasilva,MID,Brentford,0,0,0,0,0,0,82,1,0,0,0,0,2021-08-13T19:00:00Z,0,1,0,0,0,0,1,0,1911,0,2,0,0,0,0,0,55,TRUE,0,1
Allan Marques Loureiro,MID,Everton,1,0,0,6,0,2,171,4,1,0,2,11.4,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,78248,1,3,7,2,0,0,0,45,TRUE,0,1
James Milner,MID,Liverpool,2.4,0,0,10,1,18.8,221,7,0,0,4,21,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,0,6425,3,0,0,2,0,0,0,50,FALSE,1,1
Mark Noble,MID,West Ham,2,0,0,0,0,0,406,9,0,0,0,0,2021-08-15T13:00:00Z,0,14,0,0,0,0,1,0,44904,4,2,0,0,0,0,0,45,FALSE,0,1
Milot Rashica,MID,Norwich,0.9,0,0,5,0,29.2,449,7,3,0,3.9,3.4,2021-08-14T16:30:00Z,76,11,0,0,0,0,1,0,14489,3,0,6,2,0,0,0,55,TRUE,0,1
Fabian Delph,MID,Everton,1,0,0,0,0,0,163,4,0,0,0,0,2021-08-14T14:00:00Z,0,16,0,0,0,0,1,0,12377,1,3,0,0,0,0,0,45,TRUE,0,1
Emile Smith Rowe,MID,Arsenal,2.9,0,0,13,0,35.3,21,1,2,0,7.3,13,2021-08-13T19:00:00Z,90,3,0,0,0,0,1,0,497578,0,2,25,2,0,0,0,55,FALSE,0,1
Kiernan Dewsbury-Hall,MID,Leicester,1.5,0,0,0,0,0,505,5,0,0,0,0,2021-08-14T14:00:00Z,0,20,0,0,0,0,1,0,2531,0,1,0,0,0,0,0,45,TRUE,0,1
Riyad Mahrez,MID,Man City,3.5,0,0,9,0,22.1,254,10,1,0,4.7,6.4,2021-08-15T15:30:00Z,78,17,0,0,0,0,1,0,533583,0,1,18,2,0,0,0,90,FALSE,0,1
