assists,bonus,bps,clean_sheets,corners_and_indirect_freekicks_order,creativity,creativity_rank,direct_freekicks_order,dreamteam_count,first_name,second_name,element_type,goals_scored,ict_index,ict_index_rank,id,influence,influence_rank,minutes,penalties_missed,penalties_order,points_per_game,red_cards,saves,selected_by_percent,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_out,yellow_cards,prices
0,0,193,4,0,9,426,0,0,Fabian,Balbuena,DEF,1,35,337,443,260.8,257,1197,0,0,2.8,1,0,0.6,19,21,79,315,105,39,305099,294112,1,5
0,1,160,2,0,9,427,2,0,Fabian,Schar,DEF,1,37.6,334,334,251,263,1255,0,0,1.7,1,0,0.1,14,4,116,266,81,30,19342,20131,4,4.5
0,6,376,5,0,91.3,284,0,0,Federico,Fernandez,DEF,0,67.5,241,323,522,114,2080,0,0,2.2,0,0,0.6,14,4,64,335,114,53,114157,180259,4,4.5
2,8,303,7,0,220.8,184,0,2,Fernando,Luiz Rosa,DEF,0,57.6,264,266,248.6,266,1182,0,0,3.1,0,0,0.7,12,43,106,277,87,65,73976,121640,6,5
0,0,104,1,0,61.7,333,0,0,Fernando,Marcal,DEF,0,17.9,394,505,102.6,374,618,0,0,1.5,0,0,0.1,20,39,13,406,155,19,27818,44182,2,4.5
0,0,8,0,0,0.1,479,0,0,Fikayo,Tomori,DEF,0,2.7,464,121,26.6,443,45,0,0,0,0,0,0.2,5,8,0,660,237,0,8098,27327,0,4
0,0,0,0,0,0,574,0,0,Filip,Benkovic,DEF,0,0,598,237,0,590,0,0,0,0,0,0,0,9,13,0,555,224,0,296,5037,0,4
0,0,0,0,0,0,561,0,0,Florian,Lejeune,DEF,0,0,586,327,0,578,0,0,0,0,0,0,0,14,4,0,542,219,0,382,2738,0,4
0,0,0,0,0,0,572,0,0,Frederic,Guilbert,DEF,0,0,596,47,0,588,0,0,0,0,0,0,0.1,2,7,0,553,222,0,2055,10208,0,4
0,0,0,0,0,0,544,0,0,Frederik,Alves,DEF,0,0,574,637,0,565,0,0,0,0,0,0,0,19,21,0,521,209,0,3709,2184,0,4
0,7,385,6,0,51,341,0,1,Gabriel,Magalhaes,DEF,2,74.9,218,494,464.8,154,1996,0,0,3.4,1,0,4.6,1,3,233,168,31,78,1061292,1202841,2,5
0,1,30,1,0,0.9,463,0,0,Gaetano,Berardi,DEF,0,3.6,456,685,17.2,458,113,0,0,4,0,0,0,10,2,18,392,149,8,1280,413,0,4
1,6,308,4,0,90.1,287,0,1,Gary,Cahill,DEF,1,65.7,248,125,406.2,183,1800,0,0,2.6,0,0,0.2,6,31,157,225,61,53,37176,30784,3,5
2,8,632,13,0,133.6,234,0,1,Harry,Maguire,DEF,2,126.3,92,298,701.4,46,3047,0,0,3.6,0,0,4.3,13,1,428,86,4,124,830414,848747,11,5.5
3,17,421,7,0,351.8,107,0,3,Hector,Bellerin,DEF,1,94.7,158,11,362.8,204,2089,0,0,3.8,0,0,3.5,1,3,232,170,32,94,1050959,1190364,8,5
0,0,0,0,0,0,546,0,0,Hugo,Bueno,DEF,0,0,576,649,0,567,0,0,0,0,0,0,0,20,39,0,523,210,0,2522,1601,0,4
0,1,234,2,0,17.4,397,0,1,Issa,Diop,DEF,2,44.3,307,451,375.6,197,1379,0,0,2.3,0,0,0.6,19,21,48,353,126,42,49272,116025,3,4.5
0,6,288,4,0,85.6,297,0,1,Jack,Stephens,DEF,0,54.2,278,367,351,213,1537,0,0,2.3,0,0,0.2,16,20,104,280,89,41,33971,55453,2,4.5
0,0,5,0,0,14.8,403,0,0,Jake,Vokins,DEF,0,1.7,481,380,1.8,498,66,0,0,1,0,0,0.8,16,20,0,471,180,1,77272,122779,0,4
0,3,229,2,0,38.1,353,0,0,Jamaal,Lascelles,DEF,2,54.7,275,328,345.2,219,1625,0,0,2.3,0,0,0.8,14,4,161,221,58,44,212271,402533,4,4.5
0,0,0,0,0,0,537,0,0,Jamal,Baptiste,DEF,0,0,567,669,0,558,0,0,0,0,0,0,0,19,21,0,514,203,0,1072,739,0,4
1,3,261,3,0,224.8,182,0,1,Jamal,Lewis,DEF,0,54.2,277,513,272.6,252,1833,0,0,1.8,0,0,1.1,14,4,47,354,127,44,446207,507978,4,4.5
0,0,0,0,0,0,614,0,0,James,Bree,DEF,0,0,630,43,0,624,0,0,0,0,0,0,0,2,7,0,600,231,0,9840,10323,0,4
2,13,447,9,0,290.7,141,0,3,James,Justin,DEF,2,96,157,239,472.2,152,2070,0,0,4.4,0,0,6.1,9,13,195,194,47,101,2916788,3438570,4,5
0,9,534,11,0,148,223,0,1,James,Tarkowski,DEF,1,127.7,90,81,773.4,27,3240,0,0,3,0,0,3,4,90,350,109,10,109,321901,492488,6,5
0,2,97,2,0,11.4,414,0,0,James,Tomkins,DEF,0,14.1,404,129,101.2,376,551,0,0,2.2,0,0,0,6,31,29,376,139,18,7866,8154,1,4.5
1,11,584,9,0,75,315,0,2,Jan,Bednarek,DEF,1,93.1,164,376,692,52,3100,0,0,2.6,1,0,4.6,16,20,164,216,56,94,1434502,1318145,5,4.5
1,4,494,6,0,102.1,267,0,1,Jannik,Vestergaard,DEF,3,106.7,126,369,671.8,58,2574,0,0,2.9,1,0,2.8,16,20,294,137,17,86,1564607,1476302,3,5
